"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Hesperostipa comata",-118.777374,39.328576,"cdc,colmafu,inmafu","US","PRESENT",696,"RENO","4404936889","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8058470","PRESERVED_SPECIMEN",2000,4,29,"2000-04-29","WGS84","57905"
"Hesperostipa comata",-121.138247,44.159584,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404899958","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8062007","PRESERVED_SPECIMEN",1999,6,16,"1999-06-16","WGS84","58217"
"Hesperostipa comata",-115.119172,37.342761,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404905826","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8061869","PRESERVED_SPECIMEN",1998,5,25,"1998-05-25","WGS84","58205"
"Hesperostipa comata",-114.4052,37.5296,"cdc,colmafu,inmafu","US","PRESENT",696,"RENO","4404905258","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8061974","PRESERVED_SPECIMEN",1998,6,21,"1998-06-21","WGS84","58212"
"Hesperostipa comata",-118.5350236,46.7721573,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073833222",NA,"PRESERVED_SPECIMEN",1997,6,1,"1997-06-01","WGS84","131017"
"Hesperostipa comata",-118.151264,46.537285,"cdc,colmafu,inmafu","US","PRESENT",560,"EWU","4070140297",NA,"PRESERVED_SPECIMEN",1995,5,20,"1995-05-20","WGS84","6029"
"Hesperostipa comata",-108.6316,38.9958,"cdc,inmafu","US","PRESENT",969,"MESA","3783625844","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3347830","PRESERVED_SPECIMEN",1995,6,17,"1995-06-17","WGS84","MESA00488"
"Hesperostipa comata",-105.2676,39.9211,"cdc,inmafu","US","PRESENT",969,"MESA","3783625842","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3347832","PRESERVED_SPECIMEN",1991,6,20,"1991-06-20","WGS84","MESA00490"
"Hesperostipa comata",-110.6704,34.4884,"cdc,colmafu,inmafu","US","PRESENT",1000,"ASU","2270578655","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6184537","PRESERVED_SPECIMEN",1991,9,4,"1991-09-04","WGS84","ASU0075122"
"Hesperostipa comata",-120.184378,39.822542,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404905270","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8061984","PRESERVED_SPECIMEN",1990,6,16,"1990-06-16","WGS84","58213"
"Hesperostipa comata",-113.815419,37.146397,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404922123","https://intermountainbiota.org/portal/collections/individual/index.php?occid=7946689","PRESERVED_SPECIMEN",1988,5,18,"1988-05-18","WGS84","54784"
"Hesperostipa comata",-112.260215,37.531583,"cdc,colmafu,inmafu","US","PRESENT",301,"RENO","4404905838","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8061844","PRESERVED_SPECIMEN",1988,8,23,"1988-08-23","WGS84","58202"
"Hesperostipa comata",-111.8425,37.1012,"cdc,ambinst","US","PRESENT",969,"UT","4443312629","https://intermountainbiota.org/portal/collections/individual/index.php?occid=10332579","PRESERVED_SPECIMEN",1987,5,16,"1987-05-16","WGS84","UT0030635"
"Hesperostipa comata",-108.027807,40.702683,"cdc,inmafu","US","PRESENT",90,"MESA","3783625918","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3347827","PRESERVED_SPECIMEN",1987,6,10,"1987-06-10","WGS84","MESA00493"
"Hesperostipa comata",-103.514029,49.32267,"osiic,colmano,inmafu","CA","PRESENT",569,"University of Alberta Museums","883384401","https://search.museums.ualberta.ca/12-79546","PRESERVED_SPECIMEN",1987,7,15,"1987-07-15","WGS84","106221"
"Hesperostipa comata",-119.815598,39.854289,"cdc,colmafu,inmafu","US","PRESENT",301,"RENO","4404905879","https://intermountainbiota.org/portal/collections/individual/index.php?occid=8061875","PRESERVED_SPECIMEN",1987,8,5,"1987-08-05","WGS84","58206"
"Hesperostipa comata",-115.9298,32.1841,"cdc,elmms,gass84,typstativ,osiic,ambinst","MX","PRESENT",90,"UCR","2629840623",NA,"PRESERVED_SPECIMEN",1986,5,18,"1986-05-18","WGS84","44535"
"Hesperostipa comata",-115.95833,32.2,"cdc,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",90,"SDNHM","2629918416",NA,"PRESERVED_SPECIMEN",1986,5,18,"1986-05-18","WGS84","119242"
"Hesperostipa comata",-115.95,32.166667,"cdc,cdround,elmms,gass84,typstativ,osiic,incomis,inmafu,diffown","MX","PRESENT",90,"SDNHM","2629859373",NA,"PRESERVED_SPECIMEN",1986,5,18,"1986-05-18","WGS84","119241"
"Hesperostipa comata",-118.41176,37.78354,"cdc,colmafu,inmafu","US","PRESENT",80,"RENO","4404974470","https://intermountainbiota.org/portal/collections/individual/index.php?occid=30403868","PRESERVED_SPECIMEN",1986,6,5,"1986-06-05","WGS84","114985"
"Hesperostipa comata",-98.116516,49.166564,"osiic,colmano,inmafu","CA","PRESENT",569,"University of Alberta Museums","883406562","https://search.museums.ualberta.ca/12-100783","PRESERVED_SPECIMEN",1986,7,14,"1986-07-14","WGS84","121211"
"Hesperostipa comata",-104.5995,38.9478,"cdc,inmafu","US","PRESENT",969,"MESA","3783625931","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3347828","PRESERVED_SPECIMEN",1985,6,19,"1985-06-19","WGS84","MESA00492"
"Hesperostipa comata",-115.97437,32.22773,"cdc,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",90,"SDNHM","2629854425",NA,"PRESERVED_SPECIMEN",1985,6,20,"1985-06-20","WGS84","122810"
"Hesperostipa comata",-118.08929,37.35681,"cdc,colmafu,inmafu","US","PRESENT",40,"RENO","4404941004","https://intermountainbiota.org/portal/collections/individual/index.php?occid=27556002","PRESERVED_SPECIMEN",1984,5,25,"1984-05-25","WGS84","106814"
"Hesperostipa comata",-115.959004,32.18889,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",90,"SDNHM","2629913390",NA,"PRESERVED_SPECIMEN",1984,5,25,"1984-05-25","WGS84","115220"
