"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Setaria viridis",-103.107714,38.987331,"ambcol","US","PRESENT",808,"KU","177029741",NA,"PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","335635"
"Setaria viridis",-102.485916,39.519182,"ambcol","US","PRESENT",969,"KU","177029747",NA,"PRESERVED_SPECIMEN",2000,6,26,"2000-06-26","WGS84","335637"
"Setaria viridis",-102.79083,38.76639,"cdc,ambinst","US","PRESENT",250,"COLO","2573465479","https://botanydb.colorado.edu/collections/individual/index.php?occid=40104","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84","00621565"
"Setaria viridis",-102.36806,39.51861,"cdc,ambinst","US","PRESENT",250,"COLO","2573532906","https://botanydb.colorado.edu/collections/individual/index.php?occid=40152","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","00654111"
"Setaria viridis",-93.685377,45.523144,"cdc,ambcol","US","PRESENT",969,"MIN","2265402281","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=148976","PRESERVED_SPECIMEN",2000,8,25,"2000-08-25","WGS84","473282"
"Setaria viridis",-103.85201,44.694972,"cdc,inmafu","US","PRESENT",367,"BHSC","2831259481","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808901","PRESERVED_SPECIMEN",2000,8,25,"2000-08-25","WGS84","BHSC0032790"
"Setaria viridis",-102.15194,39.32056,"cdc,ambinst","US","PRESENT",250,"COLO","2573466484","https://botanydb.colorado.edu/collections/individual/index.php?occid=40081","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00591800"
"Setaria viridis",-103.16361,38.84944,"cdc,ambinst","US","PRESENT",250,"COLO","2573472493","https://botanydb.colorado.edu/collections/individual/index.php?occid=40143","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","00645531"
"Setaria viridis",-103.68,39.26278,"cdc,ambinst","US","PRESENT",250,"COLO","2573466487","https://botanydb.colorado.edu/collections/individual/index.php?occid=40144","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","00645648"
"Setaria viridis",-103.203268,38.850554,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573532752","https://botanydb.colorado.edu/collections/individual/index.php?occid=40145","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00645721"
"Setaria viridis",-103.1625,38.85528,"cdc,ambinst","US","PRESENT",250,"COLO","2573516383","https://botanydb.colorado.edu/collections/individual/index.php?occid=40147","PRESERVED_SPECIMEN",2000,8,24,"2000-08-24","WGS84","00653147"
"Setaria viridis",-102.6125,39.47528,"cdc,ambinst","US","PRESENT",250,"COLO","2573532598","https://botanydb.colorado.edu/collections/individual/index.php?occid=40168","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00668277"
"Setaria viridis",-102.6925,38.32472,"cdc,ambinst","US","PRESENT",500,"COLO","2573532459","https://botanydb.colorado.edu/collections/individual/index.php?occid=40189","PRESERVED_SPECIMEN",2000,8,20,"2000-08-20","WGS84","00691899"
"Setaria viridis",-93.212946,44.960785,"cdc,gass84,ambcol","US","PRESENT",386,"MIN","2265351908","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=10390","PRESERVED_SPECIMEN",2000,9,17,"2000-09-17","WGS84","438458"
"Setaria viridis",-122.343202,48.101763,"cdc,colmafu,inmafu","US","PRESENT",301,"RENO","4404885080","https://intermountainbiota.org/portal/collections/individual/index.php?occid=6690530","PRESERVED_SPECIMEN",2000,9,14,"2000-09-14","WGS84","41395"
"Setaria viridis",-92.451026,42.829959,"cdc,gass84,inmafu","US","PRESENT",150,"WET","4510648861","https://ngpherbaria.org/portal/collections/individual/index.php?occid=7957870","PRESERVED_SPECIMEN",2000,9,14,"2000-09-14","WGS84",NA
"Setaria viridis",-102.37028,38.88972,"cdc,ambinst","US","PRESENT",250,"COLO","2573469474","https://botanydb.colorado.edu/collections/individual/index.php?occid=40139","PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","00645366"
"Setaria viridis",-111.075,24.841667,"cdc,cdround,elmms,gass84,typstativ,incomis,inmafu,diffown","MX","PRESENT",60,"CIBNOR","1894812927",NA,"PRESERVED_SPECIMEN",2000,11,9,"2000-11-09","WGS84","14858"
"Setaria viridis",-92.339509,44.505203,"cdc,gass84,ambcol","US","PRESENT",979,"MIN","2265429891","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=173182","PRESERVED_SPECIMEN",1999,7,1,"1999-07-01","WGS84","505434"
"Setaria viridis",-94.041004,44.637325,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265431627","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=175892","PRESERVED_SPECIMEN",1999,7,21,"1999-07-21","WGS84","904674"
"Setaria viridis",-73.39222,41.06583,"cdc,gass84,inmano","US","PRESENT",1,"UConn","699257980",NA,"PRESERVED_SPECIMEN",1999,7,19,"1999-07-19","WGS84","CONN00032323"
"Setaria viridis",-101.010372,38.86958,"ambcol","US","PRESENT",891,"KU","177031012",NA,"PRESERVED_SPECIMEN",1999,8,25,"1999-08-25","WGS84","325104"
"Setaria viridis",-90.823724,48.079357,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265431305","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=175821","PRESERVED_SPECIMEN",1999,8,13,"1999-08-13","WGS84","432721"
"Setaria viridis",-106.413,35.236,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843896371","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4106596","PRESERVED_SPECIMEN",1999,8,18,"1999-08-18","WGS84","UNM0107702"
"Setaria viridis",-118.621188,38.51813,"cdc,colmafu,inmafu","US","PRESENT",100,"RENO","4404954251","https://intermountainbiota.org/portal/collections/individual/index.php?occid=5319101","PRESERVED_SPECIMEN",1999,8,2,"1999-08-02","WGS84","32101"
"Setaria viridis",-103.873075,44.498828,"cdc,inmafu","US","PRESENT",229,"BHSC","2831259505","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808870","PRESERVED_SPECIMEN",1999,9,7,"1999-09-07","WGS84","BHSC0025315"
"Setaria viridis",-99.37218,43.97231,"cdc,inmafu","US","PRESENT",284,"BHSC","2831259509","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808874","PRESERVED_SPECIMEN",1999,9,25,"1999-09-25","WGS84","BHSC0025816"
"Setaria viridis",-103.961102,44.597414,"cdc,inmafu","US","PRESENT",969,"BHSC","2831259508","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808875","PRESERVED_SPECIMEN",1999,9,23,"1999-09-23","WGS84","BHSC0025863"
"Setaria viridis",-103.322362,44.06033,"cdc,inmafu","US","PRESENT",969,"BHSC","2831259512","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808879","PRESERVED_SPECIMEN",1999,9,10,"1999-09-10","WGS84","BHSC0026741"
"Setaria viridis",-103.494236,45.610363,"cdc,inmafu","US","PRESENT",969,"BHSC","2831259495","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808883","PRESERVED_SPECIMEN",1999,9,26,"1999-09-26","WGS84","BHSC0026838"
"Setaria viridis",-104.014675,44.558904,"cdc,inmafu","US","PRESENT",612,"BHSC","2831259500","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808886","PRESERVED_SPECIMEN",1999,9,6,"1999-09-06","WGS84","BHSC0029418"
"Setaria viridis",-103.861458,44.483109,"cdc,inmafu","US","PRESENT",80,"BHSC","2831259485","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808892","PRESERVED_SPECIMEN",1999,9,16,"1999-09-16","WGS84","BHSC0029508"
"Setaria viridis",-97.895231,42.853159,"cdc,inmafu","US","PRESENT",426,"BHSC","2862184848","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25887424","PRESERVED_SPECIMEN",1999,9,4,"1999-09-04","WGS84","BHSC0026764"
"Setaria viridis",-106.353,35.103,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843897452","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4106530","PRESERVED_SPECIMEN",1999,9,14,"1999-09-14","WGS84","UNM0107704"
"Setaria viridis",-96.636111,18.105,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"NO DISPONIBLE","1893924022",NA,"PRESERVED_SPECIMEN",1999,9,25,"1999-09-25","WGS84","NO DISPONIBLE"
"Setaria viridis",-102.168717,43.987247,"cdc,inmafu","US","PRESENT",969,"BHSC","2831259517","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25808865","PRESERVED_SPECIMEN",1999,10,2,"1999-10-02","WGS84","BHSC0025089"
